root,T,B,L,R
1,,,,
2,,,,
3,1;2,4;5,,17
4,,,,
5,3;4,6;7;8;9,,
6,,,,
7,,,,
8,,,,
9,5;6;7;8,10;11;12,,
10,,,,
11,,,,
12,9;10;11,13;14,,
13,,,,
14,12;13,15;16,,26
15,,,,
16,,,,
17,,18;19;20;21;27,3,50
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,22;23;24;25;28,,14,47
27,,,,29;30;31
28,,,,34;35;36
29,,,,
30,,,,
31,29;30,32;33;34,,
32,,,,
33,,,,
34,31;32;33,35;36,,
35,,,,
36,,,,
37,,,,
38,,,,
39,50;37;38,40;41;42;43,,
40,,,,
41,,,,
42,,,,
43,39;40;41;42,44;45;46;47,,
44,,,,
45,,,,
46,,,,
47,43;44;45;46,48;49,26,
48,,,,
49,,,,
50,,37;38;39,17,51;52;53;54;55
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
