dot,bookshelf_num
1,1;2;32;33
2,3;4;34;35
3,5;6;36
4,7;8
5,9;10
6,11;12
7,13;14
8,15;16
9,17
10,18;19
11,20;21
12,22;23
13,24;25
14,26;27
15,28;29
16,30;31
17,
18,37;38
19,39;40
20,41;42
21,43;44;45
22,46;47;48
23,49;50
24,51;52
25,53;54
26,
27,
28,
29,55;56
30,57;58
31,59;60
32,61;62
33,63;64
34,65;66
35,67;68
36,69;70
37,75;76
38,77;78
39,79;80
40,81;82
41,83;84
42,85;86
43,87;88
44,89;90
45,91;92
46,93;94
47,
48,71;72;95;96
49,73;74;97;98
50,99;100;101
51,102;103
52,104;105
53,106;107
54,108;109
55,110;111
